input,response
I want ice cream.,"Haha, that’s funny!"
I want to be a teacher.,Sounds great!
I’m nervous about my test.,"That’s okay, it will be fine."
I need some rest.,Good effort!
I saw a rainbow.,I hope you feel better soon.
I’m not okay right now.,"Oh no, that sounds stressful."
My friend made me laugh.,"Haha, that’s funny!"
I’m bored right now.,Good effort!
I tried sushi for the first time.,That’s so true.
I believe I can do it.,That’s wonderful!
I’m planning for my future.,Stay confident.
I want to study overseas.,That’s so funny!
I argued with my brother.,You must be tired.
We finally finished it.,That’s quite an experience.
"I'm fine, thanks for asking.",That’s really inspiring.
My mom cooked dinner.,Keep working hard.
Do you play any instruments?,That’s so cool!
I want to be better at English.,That’s great news!
I argued with my brother.,How lovely!
I don’t know my future yet.,You’re learning a lot.
I’m not good at art.,Stay confident.
I love my family.,That’s a positive attitude.
Did you sleep well?,That’s a positive attitude.
How are you today?,That’s cool!
I feel shy speaking English.,You’re improving every day.
Do you like coffee?,That sounds relaxing.
I helped my friend with homework.,I get that feeling.
I went for a walk.,That’s beautiful.
My favorite food is pasta.,How nice!
I’m nervous about my test.,I love that mindset.
I cooked breakfast.,Stay confident.
It’s raining today.,You must be tired.
Do you like cold weather?,That’s really cool!
Do you like weekends?,That sounds fun!
I studied grammar today.,That’s so thoughtful.
My dad is watching TV.,You deserve a rest.
I cooked breakfast.,You’re improving every day.
Do you like cold weather?,That’s fine.
I saw a rainbow.,Keep working hard.
I feel stressed with school.,Stay positive.
I don’t like loud music.,That’s really sweet.
I don’t like summer.,That’s something to be proud of.
I love painting.,I get that feeling.
I made tea for my mom.,Everything will be alright.
I don’t know my future yet.,I like that too.
I feel shy speaking English.,How nice!
I went for a walk.,That’s really nice of you.
I forgot my notes.,That’s awesome!
I drank coffee this morning.,That’s interesting!
Do you have dreams too?,Don’t be too hard on yourself.
It’s too hot today.,That’s really nice of you.
I feel happy today.,I like that too.
Do you like noodles?,How lovely!
I want to learn basketball.,Nice choice!
I’ll try again tomorrow.,That’s really cool!
My team argued.,That’s so true.
I love rainy days.,You should be proud of yourself.
I don’t like summer.,How nice!
I don’t like loud music.,You should be proud of yourself.
I played football with my friends.,I believe in you.
I’m listening to music.,Really? Tell me more.
What are you doing now?,That’s a positive attitude.
I finished my essay.,That’s really sweet.
I made some mistakes.,Be kind to yourself.
I didn’t do my assignment.,I hope you feel better soon.
I miss my friends.,Sounds great!
My favorite singer is Taylor Swift.,Stay positive.
I feel stressed with school.,That’s beautiful.
Do you play any instruments?,You’re doing your best.
I love pizza.,That’s a nice dream.
I didn’t do my assignment.,That’s so relatable.
I love my family.,That’s perfect!
It’s too hot today.,That’s really sweet.
Do you have dreams too?,Everything will be alright.
I made tea for my mom.,"Wow, impressive!"
I love pizza.,That’s a nice dream.
I watched a concert online.,"You’re doing great, keep it up."
My mom cooked dinner.,That’s sweet.
I tried sushi for the first time.,Good for you!
It’s been a long day.,That’s so cool!
My sister helped me.,You should be proud of yourself.
It’s windy outside.,How nice!
I love painting.,Good luck with that!
I love rainy days.,I hope you feel better soon.
We finally finished it.,That’s something to be proud of.
We did a group project.,That’s a lovely thing.
My friend made me laugh.,Stay positive.
I watched a movie last night.,Keep up the good work.
I cooked breakfast.,I hope you achieve your dreams.
I don’t like summer.,Good luck with that!
I love playing the guitar.,That’s beautiful.
My project is due soon.,Try to take a short break.
Do you like noodles?,That’s interesting!
I failed my test.,I’m sure you’ll do great.
I helped my friend with homework.,How nice!
I cooked breakfast.,How lovely!
The weather is nice.,You’re learning a lot.
Are you busy?,That’s a positive attitude.
I love pizza.,You’re learning a lot.
My team argued.,You can do it!
I cooked breakfast.,Good luck with that!
I talked to my teacher today.,You’re amazing!
The weather is nice.,Nice choice!
My favorite singer is Taylor Swift.,Everything will be alright.
I love rainy days.,That’s beautiful.
I’m listening to music.,You’re improving every day.
Are you busy?,I love that mindset.
My friend made me laugh.,That’s great progress!
Do you like coffee?,You sound motivated.
I’ll try again tomorrow.,I’m sure you’ll succeed.
My teacher gave us homework.,That’s such a nice thought.
I failed my test.,That must be exciting.
Do you want to learn English too?,Don’t be too hard on yourself.
I woke up early this morning.,That’s a great idea.
I woke up early this morning.,I’m sure you’ll do great.
I played football with my friends.,Keep practicing.
I made tea for my mom.,That’s something to be proud of.
Do you like cold weather?,I hope you feel better soon.
It’s too hot today.,You sound motivated.
I feel shy speaking English.,You must be tired.
It’s too hot today.,I’m sure you’ll succeed.
I didn’t do my assignment.,I love that mindset.
My teacher gave us homework.,I love that!
I forgot my notes.,Nice choice!
How are you today?,You deserve a rest.
I want to be a teacher.,Good luck with that!
My class was fun today.,"That’s tough, but you’ll manage."
I just want to relax.,I hope tomorrow is better.
Do you like weekends?,Nice choice!
I love rainy days.,"Wow, impressive!"
I miss my friends.,Sounds great!
I’m planning for my future.,That’s really nice of you.
The sun looks beautiful.,That sounds relaxing.
What are you doing now?,That’s so thoughtful.
I don’t know my future yet.,Keep working hard.
I’m not good at art.,You’re learning a lot.
It’s too hot today.,That’s a lovely thing.
I’m practicing speaking English.,I’m sure you’ll do great.
I don’t like summer.,It’s important to take breaks.
I want ice cream.,That’s perfect!
I’m proud of myself.,"Wow, impressive!"
I love rainy days.,Don’t give up.
I don’t like summer.,I understand how you feel.
My dream is to travel abroad.,That’s such a nice feeling.
I woke up early this morning.,That’s totally fine.
I don’t feel good.,That’s a lovely thing.
I drew a picture today.,That must be exciting.
My teacher said I did well.,You can always try again.
I don’t like summer.,That’s a nice dream.
Did you sleep well?,You did your best.
"I'm fine, thanks for asking.",That’s cool!
I cooked breakfast.,That’s so relatable.
We did a group project.,That’s really nice of you.
I’ll try again tomorrow.,Good luck with that!
Do you love your parents?,"Haha, that’s funny!"
I watched a movie last night.,That must feel nice.
I want to be a teacher.,Stay positive.
I talked to my teacher today.,That’s a nice dream.
Do you like coffee?,It’s important to take breaks.
I saw a rainbow.,How nice!
I failed my test.,You’re doing your best.
My sister helped me.,I’m happy for you.
I’m nervous about my test.,I believe in you.
My favorite singer is Taylor Swift.,It’s okay to feel that way.
I made tea for my mom.,That’s so cool!
I love pizza.,How nice!
I studied grammar today.,That’s amazing!
I didn’t do my assignment.,You’re amazing!
I’m listening to music.,That’s great news!
I want to make my parents proud.,Keep working hard.
I cooked breakfast.,That’s wonderful!
Do you want to chat?,Stay positive.
My sister helped me.,Don’t worry too much.
I believe I can do it.,That’s quite an experience.
My teacher said I did well.,That’s quite an experience.
I helped my friend with homework.,Stay confident.
I feel happy today.,That’s really nice of you.
I forgot my notes.,"That’s okay, it will be fine."
I’m listening to music.,Stay confident.
I made some mistakes.,I hope you feel better soon.
I tried sushi for the first time.,It’s good to rest sometimes.
We finally finished it.,That’s nice to hear!
I didn’t do my assignment.,That’s totally normal.
I like studying at night.,That’s a great idea.
Do you like school?,That’s awesome!
Do you like noodles?,I like that too.
I love my family.,I’m happy for you.
I believe I can do it.,That’s amazing!
I believe I can do it.,That’s so true.
I’m planning for my future.,It’s important to take breaks.
How are you today?,That’s cool!
I just need a break.,Try to take a short break.
I went for a walk.,That’s so true.
My project is due soon.,I understand how you feel.
I feel happy today.,That’s kind of you.
Do you like weekends?,I’m happy for you.
I love my family.,That sounds delicious.
I love painting.,That’s such a nice feeling.
I want to make my parents proud.,You’re doing your best.
I miss my friends.,I understand how you feel.
I want ice cream.,That’s great news!
My favorite singer is Taylor Swift.,That sounds fun!
I didn’t do my assignment.,I hope you feel better soon.
We did a group project.,That happens sometimes.
I want ice cream.,That’s so nice to hear.
I need some rest.,"Haha, that’s funny!"
I love playing the guitar.,That’s so relatable.
I’m nervous about my test.,That’s so funny!
I'm feeling good today.,That’s a positive attitude.
I’m planning for my future.,I love that mindset.
I’m planning for my future.,That’s so nice to hear.
I’m not good at art.,How lovely!
Do you like noodles?,Don’t give up.
I want ice cream.,I like that too.
Do you like coffee?,That’s so cool!
I finished my essay.,That’s wonderful!
I forgot my notes.,"That’s okay, it will be fine."
I stayed up late studying.,"That’s tough, but you’ll manage."
I feel lazy today.,You’re amazing!
My mom cooked dinner.,"Haha, you made me smile."
I cooked breakfast.,Just relax a little.
I want to be a teacher.,That’s fine.
I feel stressed with school.,I know you can do it.
I miss my friends.,That’s really nice of you.
I don’t feel good.,"Haha, that’s relatable!"
I'm feeling good today.,I believe in you.
I miss my friends.,That’s so true.
My teacher gave us homework.,You deserve a rest.
I worked all night.,That’s wonderful!
I want to learn basketball.,Good luck with that!
I love my family.,You can do it!
I’m not good at art.,I know that feeling.
My sister helped me.,That’s really awesome!
I just want to relax.,I get that feeling.
How are you today?,I know that feeling.
Do you like cold weather?,Keep working hard.
I woke up early this morning.,You’re doing your best.
I have an exam tomorrow.,Keep practicing.
I feel stressed with school.,You can do it!
Are you busy?,I hope tomorrow is better.
My sister helped me.,That’s really nice of you.
I love pizza.,"That’s okay, it will be fine."
I need some rest.,That’s a positive attitude.
I don’t like summer.,That’s totally normal.
My team argued.,I love that mindset.
Do you love your parents?,That’s really sweet.
It’s been a long day.,You can always try again.
We did a group project.,You’re doing your best.
I'm feeling good today.,Keep working hard.
I love rainy days.,Try to take a short break.
Do you play any instruments?,I hope tomorrow is better.
I feel shy speaking English.,That’s really nice of you.
I went for a walk.,I believe in you.
Do you like weekends?,I understand how you feel.
I have an exam tomorrow.,You can always try again.
Do you want to learn English too?,That’s really inspiring.
I played football with my friends.,That’s cool!
I made some mistakes.,I love that mindset.
I love pizza.,That sounds delicious.
I played football with my friends.,That’s such a nice thought.
Do you like cold weather?,You’re improving every day.
I’ll try again tomorrow.,Don’t lose hope.
I just want to relax.,Good luck with that!
I forgot my notes.,I’m happy for you.
I feel happy today.,You deserve a rest.
I finished my essay.,"Oh no, that sounds stressful."
I forgot my homework.,You deserve a rest.
My sister helped me.,That’s interesting!
I’m planning for my future.,Good luck with that!
I feel stressed with school.,That’s really sweet.
I have an exam tomorrow.,You can do it!
It’s too hot today.,I’m sure you’ll do great.
My favorite food is pasta.,Sounds great!
I worked all night.,You’re doing great!
Do you like coffee?,You’re doing great!
My teacher gave us homework.,You’re learning a lot.
I want to learn basketball.,That’s wonderful!
I watched a concert online.,I know you can do it.
I’ll try again tomorrow.,Don’t lose hope.
My friend made me laugh.,I understand how you feel.
I helped my friend with homework.,That’s awesome!
I believe I can do it.,I love that!
I woke up early this morning.,I understand how you feel.
I feel stressed with school.,How wonderful!
My dad is watching TV.,That’s such a nice thought.
I’m not good at art.,"Haha, you made me smile."
It’s been a long day.,That sounds relaxing.
It’s windy outside.,Don’t lose hope.
I drank coffee this morning.,Don’t worry too much.
I’m hungry.,You’re amazing!
It’s windy outside.,Keep practicing.
I don’t feel good.,That’s a nice dream.
I’ll try again tomorrow.,That’s nice to hear!
It’s too hot today.,That’s such a nice thought.
The weather is nice.,That’s amazing!
I feel sad today.,Just relax a little.
I like studying at night.,"Haha, that’s relatable!"
Do you like coffee?,That’s inspiring.
Do you have dreams too?,That must feel nice.
My class was fun today.,That sounds delicious.
I love my family.,"Haha, that’s relatable!"
I tried sushi for the first time.,That’s amazing!
I’m hungry.,Don’t worry too much.
I believe I can do it.,Stay positive.
I’m learning English.,"Wow, impressive!"
"I'm fine, thanks for asking.",I love that mindset.
I don’t feel good.,"Haha, that’s funny!"
I want ice cream.,I love that mindset.
I want to get a good job.,How wonderful!
I don’t like spicy food.,I love that!
I cooked breakfast.,You’re learning a lot.
We did a group project.,Everything will be alright.
I’m so tired.,It’s okay to feel that way.
I’ll try again tomorrow.,That’s wonderful!
The sun looks beautiful.,You must be tired.
I want ice cream.,That’s so nice to hear.
I failed my test.,Keep up the good work.
I watched a concert online.,That’s quite an experience.
I’m proud of myself.,That’s a positive attitude.
My favorite food is pasta.,How wonderful!
I miss my friends.,You’re doing your best.
I love playing the guitar.,That’s fine.
I cooked breakfast.,I’m sure you’ll do great.
I love my family.,You must be tired.
I don’t feel good.,That’s great progress!
I don’t like loud music.,You can do it!
Did you sleep well?,Don’t worry too much.
Do you like cold weather?,I believe in you.
I hate deadlines.,I like that too.
I cooked breakfast.,Good effort!
My sister helped me.,That sounds delicious.
I forgot my notes.,Just relax a little.
I love playing the guitar.,Stay confident.
"I'm fine, thanks for asking.",That’s a positive attitude.
I drew a picture today.,That must be exciting.
I forgot my notes.,Nice choice!
I believe I can do it.,I’m happy for you.
I’m staying home today.,"That’s okay, it will be fine."
Do you like weekends?,That must feel nice.
I feel happy today.,How nice!
I made some mistakes.,That’s kind of you.
I’m bored right now.,I know you can do it.
I studied grammar today.,I know that feeling.
It’s too hot today.,That’s so true.
What are you doing now?,That’s a nice dream.
I forgot my homework.,Keep working hard.
Do you have dreams too?,I love that mindset.
It’s raining today.,Keep working hard.
My class was fun today.,Don’t give up.
What are you doing now?,That’s totally normal.
What’s your plan for today?,That’s a lovely thing.
I don’t like loud music.,That’s kind of you.
I woke up early this morning.,You sound motivated.
My teacher said I did well.,That must be exciting.
I watched a concert online.,That’s totally fine.
I feel shy speaking English.,Keep up the good work.
It’s raining today.,That’s great progress!
My dream is to travel abroad.,That’s really sweet.
I just want to relax.,You deserve a rest.
I woke up early this morning.,Don’t lose hope.
I got good marks.,Don’t worry too much.
It’s too hot today.,That’s amazing!
I don’t like loud music.,I believe in you.
I want to study overseas.,That’s a nice dream.
Do you play any instruments?,Keep up the good work.
I cooked breakfast.,I love that!
I like studying at night.,Stay confident.
My friend made me laugh.,That’s really cool!
I feel stressed with school.,That must feel nice.
My sister helped me.,Don’t lose hope.
I’m planning for my future.,How lovely!
I'm feeling good today.,I like that too.
Do you have dreams too?,"That’s tough, but you’ll manage."
I love playing the guitar.,That’s inspiring.
I want to get a good job.,Keep practicing.
"I'm fine, thanks for asking.",How wonderful!
I don’t know my future yet.,That’s so funny!
My project is due soon.,That’s perfect!
I tried sushi for the first time.,I know that feeling.
I’m not okay right now.,How lovely!
I love playing the guitar.,I’m sure you’ll do great.
I watched a movie last night.,I hope you feel better soon.
I'm feeling good today.,It’s important to take breaks.
I don’t know my future yet.,That’s something to be proud of.
My teacher said I did well.,Good luck with that!
I’m so tired.,I hope you achieve your dreams.
Do you like cold weather?,Everything will be alright.
Do you want to learn English too?,That’s so thoughtful.
I don’t know my future yet.,That’s a nice dream.
I forgot my notes.,Just relax a little.
It’s too hot today.,Keep up the good work.
I’m learning English.,Keep working hard.
The weather is nice.,That’s really sweet.
My dad is watching TV.,That’s really awesome!
Do you like cold weather?,That must feel nice.
My teacher said I did well.,That sounds relaxing.
I made tea for my mom.,That happens sometimes.
I argued with my brother.,Stay confident.
My mom cooked dinner.,"Haha, that’s relatable!"
My friend made me laugh.,That’s totally normal.
Are you busy?,That’s something to be proud of.
I want to make my parents proud.,You can always try again.
I don’t like spicy food.,Just relax a little.
We finally finished it.,That’s fine.
"I'm fine, thanks for asking.",Be kind to yourself.
My mom cooked dinner.,"That’s okay, it will be fine."
I watched a movie last night.,Good for you!
The weather is nice.,That’s inspiring.
I want to get a good job.,That must feel nice.
I failed my test.,That’s a great idea.
I feel lazy today.,Stay positive.
I love rainy days.,Keep working hard.
What are you doing now?,I’m sure you’ll succeed.
I love painting.,That happens sometimes.
Do you like noodles?,"Oh no, that sounds stressful."
Do you like cold weather?,I’m sure you’ll succeed.
I don’t like spicy food.,That’s wonderful!
I need some rest.,That’s beautiful.
I’m not okay right now.,Good luck with that!
My teacher gave us homework.,It’s important to take breaks.
I woke up early this morning.,You’re improving every day.
I miss my friends.,That’s great progress!
Do you want to learn English too?,Don’t worry too much.
My teacher said I did well.,"You’re doing great, keep it up."
I'm feeling good today.,I know that feeling.
I don’t like spicy food.,That’s really awesome!
It’s windy outside.,You’re improving every day.
I drank coffee this morning.,You did your best.
Do you want to learn English too?,Try to take a short break.
I want to be better at English.,It’s okay to feel that way.
I’m practicing speaking English.,That’s great progress!
We did a group project.,That’s something to be proud of.
We finally finished it.,You’re doing great!
Do you want to learn English too?,You’re doing your best.
I don’t like spicy food.,That’s something to be proud of.
I want to study overseas.,Sounds great!
We did a group project.,You can always try again.
My dream is to travel abroad.,That’s awesome!
I forgot my homework.,I hope you feel better soon.
I talked to my teacher today.,Nice choice!
I forgot my notes.,You can always try again.
I like studying at night.,"That’s tough, but you’ll manage."
It’s windy outside.,That’s wonderful!
My dad is watching TV.,That’s such a nice feeling.
I’m staying home today.,That’s something to be proud of.
I feel lazy today.,That sounds relaxing.
I’m bored right now.,I’m sure you’ll do great.
My friend made me laugh.,That’s great progress!
I stayed up late studying.,Good luck with that!
I’m planning for my future.,Keep working hard.
I drew a picture today.,It’s good to rest sometimes.
I didn’t do my assignment.,"Haha, that’s relatable!"
I miss my friends.,Just relax a little.
I just need a break.,That’s a nice dream.
I love rainy days.,That’s a lovely thing.
It’s too hot today.,That’s a lovely thing.
My team argued.,You must be tired.
I miss my friends.,That’s such a nice thought.
I’m not good at art.,I understand how you feel.
I woke up early this morning.,That’s really sweet.
Do you like noodles?,You’re amazing!
I’m not good at art.,"That’s okay, it will be fine."
I want to be better at English.,I’m sure you’ll do great.
I want to make my parents proud.,How lovely!
I don’t like spicy food.,I love that mindset.
I woke up early this morning.,I’m sure you’ll do great.
"I'm fine, thanks for asking.",How wonderful!
I have an exam tomorrow.,You’re doing your best.
I argued with my brother.,"Haha, you made me smile."
I want to be better at English.,That’s a nice dream.
I need some rest.,That must be exciting.
It’s windy outside.,It’s important to take breaks.
I feel sad today.,That’s interesting!
My favorite singer is Taylor Swift.,I get that feeling.
I made tea for my mom.,Just relax a little.
I don’t feel good.,Keep up the good work.
It’s been a long day.,"Haha, that’s funny!"
My dad is watching TV.,How lovely!
My favorite food is pasta.,That’s kind of you.
I love rainy days.,That’s inspiring.
My teacher gave us homework.,That’s amazing!
I’m not good at art.,That’s awesome!
I argued with my brother.,That’s so thoughtful.
I want to study overseas.,I’m happy for you.
I watched a concert online.,That’s inspiring.
How are you today?,That’s really awesome!
I want to learn basketball.,That’s something to be proud of.
I feel shy speaking English.,You must be tired.
I don’t like loud music.,That must be exciting.
I want to be better at English.,You can always try again.
I feel stressed with school.,That sounds relaxing.
I’ll try again tomorrow.,I understand how you feel.
My favorite singer is Taylor Swift.,It’s important to take breaks.
I’m proud of myself.,You must be tired.
I forgot my homework.,That’s totally fine.
I studied grammar today.,I love that!
My friend made me laugh.,You can always try again.
I didn’t do my assignment.,I’m sure you’ll succeed.
The weather is nice.,That’s so thoughtful.
Do you want to learn English too?,That sounds fun!
Did you sleep well?,"That’s tough, but you’ll manage."
My dream is to travel abroad.,"Haha, that’s relatable!"
My class was fun today.,That’s really sweet.
Do you like noodles?,Really? Tell me more.
I went for a walk.,That’s so funny!
My mom cooked dinner.,That’s such a nice feeling.
I believe I can do it.,I love that mindset.
I love playing the guitar.,Be kind to yourself.
I forgot my homework.,I like that too.
I miss my friends.,That sounds fun!
I made some mistakes.,That happens sometimes.
I talked to my teacher today.,Everything will be alright.
Do you like weekends?,That sounds fun!
I love rainy days.,Keep up the good work.
Do you like coffee?,That’s such a nice feeling.
I’m practicing speaking English.,You deserve a rest.
We finally finished it.,Keep up the good work.
I didn’t do my assignment.,I know you can do it.
How are you today?,"Haha, that’s relatable!"
I love rainy days.,That happens sometimes.
I’m learning English.,Keep practicing.
I’m so tired.,That’s totally normal.
I talked to my teacher today.,You should be proud of yourself.
I want to be a teacher.,"You’re doing great, keep it up."
It’s too hot today.,Don’t lose hope.
I love pizza.,That’s amazing!
My sister helped me.,Good for you!
I studied grammar today.,Don’t lose hope.
I forgot my notes.,I know that feeling.
I feel stressed with school.,That sounds relaxing.
How are you today?,You’re amazing!
Did you sleep well?,How lovely!
I feel stressed with school.,Sounds great!
I’m not okay right now.,That’s nice to hear!
I cooked breakfast.,You’re doing great!
I just want to relax.,That’s so nice to hear.
Do you like coffee?,That happens sometimes.
Do you like weekends?,That’s a positive attitude.
I worked all night.,You’re doing your best.
I want to get a good job.,That’s so funny!
I want to study overseas.,How lovely!
I studied grammar today.,That’s really cool!
I feel stressed with school.,Really? Tell me more.
Did you sleep well?,I like that too.
I’m listening to music.,You’re doing your best.
I worked all night.,That’s a lovely thing.
I want to get a good job.,Stay positive.
I don’t like loud music.,That’s great progress!
I made some mistakes.,That’s great progress!
I cooked breakfast.,"You’re doing great, keep it up."
I feel lazy today.,That’s nice to hear!
I stayed up late studying.,That’s fine.
I don’t know my future yet.,That’s a lovely thing.
Do you like weekends?,Keep working hard.
Are you busy?,That must feel nice.
I’m so tired.,That’s really cool!
I need some rest.,That’s really sweet.
I didn’t do my assignment.,Good effort!
I’m not okay right now.,That’s quite an experience.
I want to get a good job.,You deserve a rest.
I forgot my notes.,I like that too.
I love rainy days.,Everything will be alright.
My teacher gave us homework.,I know you can do it.
I saw a rainbow.,Don’t give up.
Do you love your parents?,How wonderful!
I want to be better at English.,Don’t lose hope.
I don’t feel good.,I’m happy for you.
I love playing the guitar.,I’m sure you’ll do great.
My mom cooked dinner.,That’s something to be proud of.
My teacher gave us homework.,Really? Tell me more.
I want ice cream.,Don’t lose hope.
I worked all night.,How nice!
I’m learning English.,Good for you!
I made some mistakes.,That’s wonderful!
I watched a concert online.,Stay confident.
I don’t like loud music.,I know you can do it.
I stayed up late studying.,That’s beautiful.
I want to learn basketball.,You deserve a rest.
The sun looks beautiful.,Just relax a little.
